Year,Team,Position,Depth Chart,Name
1991,PHI,OL,G,Mike Schad
1991,WAS,OL,G,Mark Schlereth
1991,MIN,OL,G,Adam Schreiber
1991,RAI,QB,QB,Jay Schroeder
1991,IND,OL,G,Bill Schultz
1991,DET,DB,CB,Kevin Scott
1991,MIN,DB,CB,Todd Scott
1991,CIN,OL,OT,Kirk Scrafford
1991,HOU,LB,LB,Eugene Seale
1991,SD,DB,CB,Sam Seale
1991,BUF,DL,DE,Leon Seals
1991,TB,DL,DE,Ray Seals
1991,SD,LB,ILB,Junior Seau
1991,MIA,QB,QB,Scott Secules
1991,PHI,OL,G,Rob Selby
1991,WAS,RB,RB,John Settle
1991,DEN,RB,RB,Steve Sewell
1991,PHO,OL,OT,Luis Sharpe
1991,DEN,TE,TE,Shannon Sharpe
1991,GB,WR,WR,Sterling Sharpe
1991,CLE,WR,WR,Tyrone Shavers
1991,ATL,DB,DB,Elbert Shelley
1991,SD,DB,DB,Anthony Shelton
1991,PIT,DB,DB,Richard Shelton
1991,DAL,WR,WR,Derrick Shepard
1991,PHI,RB,RB,Heath Sherman
1991,SF,WR,WR,Mike Sherrard
1991,IND,OL,G,Darin Shoulders
1991,PHI,TE,TE,Mickey Shuler
1991,GB,RB,RB,Vai Sikahema
1991,KC,LB,ILB,Tracy Simien
1991,PHI,DL,DE,Clyde Simmons
1991,WAS,OL,OT,Ed Simmons
1991,NYG,QB,QB,Phil Simms
1991,ATL,OL,OT,Joe Sims
1991,MIA,OL,G,Keith Sims
1991,KC,DL,NT,Tom Sims
1991,SEA,DL,DE,Michael Sinclair
1991,SEA,OL,OT,Curt Singer
1991,CHI,LB,MLB,Mike Singletary
1991,GB,DL,DE,Reggie Singletary
1991,NE,LB,OLB,Chris Singleton
1991,IND,DL,NT,Tony Siragusa
1991,SEA,WR,WR,Paul Skansi
1991,SEA,DL,DE,Jim Skow
1991,HOU,QB,QB,Reggie Slack
1991,RAM,OL,OT,Jackie Slater
1991,CLE,WR,WR,Webster Slaughter
1991,DAL,DB,DB,Stan Smagala
1991,PHI,LB,OLB,Jessie Small
1991,NO,DL,DE,Joel Smeenge
1991,NE,DL,NT,Fred Smerlas
1991,HOU,LB,MLB,Al Smith
1991,SD,LB,LB,Billy Ray Smith Jr.
1991,BUF,DL,DE,Bruce Smith
1991,NO,RB,FB,Cedric Smith
1991,PHI,OL,OT,Daryle Smith
1991,DEN,DB,S,Dennis Smith
1991,MIA,RB,RB,Don Smith
1991,DAL,DB,DB,Donald Smith
1991,DAL,RB,RB,Emmitt Smith
1991,NYG,WR,WR,Joey Smith
1991,PIT,DB,DB,Kevin Smith
1991,PHO,OL,G,Lance Smith
1991,BUF,DB,S,Leonard Smith
1991,DEN,OL,G,Monte Smith
1991,KC,DL,DE,Neil Smith
1991,PHI,DB,CB,Otis Smith
1991,CHI,WR,WR,Quintin Smith
1991,MIA,RB,RB,Sammie Smith
1991,RAI,RB,RB,Steve Smith
1991,PHO,OL,G,Vernice Smith
1991,DAL,LB,OLB,Vinson Smith
1991,KC,LB,LB,Percy Snow
1991,IND,OL,C,Pat Snyder
1991,MIA,DL,NT,Brian Sochia
1991,DEN,DL,NT,Brian Sochia
1991,PIT,OL,G,Ariel Solomon
1991,TB,LB,MLB,Jesse Solomon
1991,PHI,OL,G,Ron Solt
1991,DET,LB,ILB,Chris Spielman
1991,DET,DL,DE,Marc Spindler
1991,RAM,LB,LB,Frank Stams
1991,MIA,WR,WR,Walter Stanley
1991,NYJ,DB,CB,Tony Stargell
1991,IND,SPEC,P,Rohn Stark
1991,NE,SPEC,K,Jason Staurovsky
1991,BUF,OL,OT,Joe Staysniak
1991,HOU,OL,OT,Dean Steinkuhler
1991,GB,LB,OLB,Scott Stephen
1991,NE,OL,G,Calvin Stephens
1991,MIN,LB,LB,Mac Stephens
1991,SEA,LB,LB,Rod Stephens
1991,DAL,OL,C,Mark Stepnoski
1991,CIN,DL,DE,Andrew Stewart
1991,RAM,DB,S,Michael Stewart
1991,SEA,RB,RB,Tony Stewart
1991,CHI,DB,CB,Lemuel Stinson
1991,WAS,DL,DE,Fred Stokes
1991,PIT,WR,WR,Dwight Stone
1991,CHI,LB,LB,Mike Stonebreaker
1991,DAL,QB,QB,Cliff Stoudt
1991,SEA,QB,QB,Kelly Stouffer
1991,CLE,SPEC,K,Matt Stover
1991,PHO,LB,LB,Tyronne Stowe
1991,MIA,SPEC,K,Pete Stoyanovich
1991,KC,RB,RB,Troy Stradford
1991,MIN,DL,DE,Thomas Strauthers
1991,RAM,LB,OLB,Fred Strickland
1991,PIT,QB,QB,Rick Strom
1991,PIT,SPEC,P,Dan Stryzinski
1991,PIT,OL,OT,Justin Strzelczyk
1991,CIN,DL,DE,Danny Stubbs
1991,DAL,DL,DE,Danny Stubbs
1991,DEN,OL,OT,Nick Subis
1991,HOU,SPEC,P,Kent Sullivan
1991,DAL,OL,G,Mike Sullivan
1991,PHO,DL,NT,Eric Swann
1991,SD,OL,OT,Harry Swayne
1991,NYJ,OL,C,Jim Sweeney
1991,NO,LB,OLB,Pat Swilling
1991,KC,DL,NT,Patrick Swoopes
1991,MIA,DL,NT,Patrick Swoopes
1991,SF,RB,RB,Harry Sydney
1991,KC,OL,G,David Szott
1991,DEN,DL,DE,Jim Szymanski
1991,BUF,LB,OLB,Darryl Talley
1991,CLE,WR,WR,John Talley
1991,PHI,OL,G,Ben Tamburello
1991,CLE,OL,G,Ralph Tamm
1991,WAS,OL,G,Ralph Tamm
1991,CIN,OL,G,Ralph Tamm
1991,NE,LB,LB,Richard Tardits
1991,BUF,WR,WR,Steve Tasker
1991,CHI,DB,DB,David Tate
1991,BUF,RB,RB,Brian Taylor
1991,CIN,RB,RB,Craig Taylor
1991,NYG,WR,WR,Greg Taylor
1991,PHO,DB,DB,Jay Taylor
1991,SF,WR,WR,John Taylor
1991,IND,DB,FS,Keith Taylor
1991,SD,WR,WR,Kitrick Taylor
1991,NYG,LB,OLB,Lawrence Taylor
1991,TB,OL,OT,Rob Taylor
1991,DET,DB,DB,Terry Taylor
1991,NYJ,QB,QB,Troy Taylor
1991,MIN,DL,DE,Mike Teeter
1991,DET,TE,TE,Derek Tennell
1991,RAM,DB,FS,Pat Terrell
1991,TB,QB,QB,Vinny Testaverde
1991,SD,LB,LB,Galand Thaxton
1991,CHI,OL,G,Tom Thayer
1991,SD,WR,WR,Yancey Thigpen
1991,NYJ,RB,RB,Blair Thomas
1991,TB,LB,OLB,Broderick Thomas
1991,SF,OL,C,Chuck Thomas
1991,KC,LB,OLB,Derrick Thomas
1991,SEA,WR,WR,Doug Thomas
1991,CIN,DB,CB,Eric Thomas
1991,ATL,WR,WR,George Thomas
1991,MIN,DL,DT,Henry Thomas
1991,KC,WR,WR,Robb Thomas
1991,RAM,DB,DB,Rodney Thomas
1991,CHI,OL,OT,Stan Thomas
1991,BUF,RB,RB,Thurman Thomas
1991,PHI,LB,OLB,William Thomas
