Year,Team,FR TD,SFTY,INT TD
1987,Vikings,0,1,0
1987,Saints,0,2,0
1987,Giants,0,0,1
1987,49ers,0,1,0
1987,Seahawks,0,0,1
1988,Cardinals,3,1,0
1988,Falcons,2,0,1
1988,Bengals,2,1,1
1988,Vikings,2,2,5
1988,Bills,1,1,1
1988,Browns,1,1,1
1988,Lions,1,0,2
1988,Raiders,1,0,1
1988,Dolphins,1,0,0
1988,Giants,1,1,2
1988,Chargers,1,0,1
1988,Seahawks,1,0,1
1988,Bears,0,1,0
1988,Cowboys,0,1,1
1988,Broncos,0,0,0
1988,Packers,0,2,0
1988,Oilers,0,2,2
1988,Colts,0,0,1
1988,Chiefs,0,3,0
1988,Rams,0,1,1
1988,Patriots,0,0,0
1988,Saints,0,2,0
1988,Jets,0,1,3
1988,Eagles,0,2,0
1988,Steelers,0,1,2
1988,49ers,0,1,0
1988,Buccaneers,0,1,1
1988,Redskins,0,1,0
1989,Vikings,4,2,2
1989,Cowboys,3,0,0
1989,Browns,2,0,4
1989,Broncos,2,1,2
1989,Chiefs,2,1,0
1989,Raiders,2,1,3
1989,Jets,2,1,2
1989,Chargers,2,0,0
1989,Falcons,1,0,0
1989,Bengals,1,0,1
1989,Eagles,1,1,2
1989,Steelers,1,0,0
1989,49ers,1,0,0
1989,Seahawks,1,0,0
1989,Bills,0,0,1
1989,Bears,0,0,1
1989,Lions,0,0,1
1989,Packers,0,1,0
1989,Oilers,0,2,0
1989,Colts,0,0,2
1989,Rams,0,0,3
1989,Dolphins,0,1,0
1989,Patriots,0,0,1
1989,Saints,0,3,2
1989,Giants,0,2,2
1989,Cardinals,0,1,2
1989,Buccaneers,0,2,2
1989,Redskins,0,3,3
1990,Falcons,2,1,3
1990,Lions,2,0,1
1990,Raiders,2,0,1
1990,Dolphins,2,1,2
1990,Vikings,2,2,2
1990,Chargers,2,1,0
1990,Bills,1,0,2
1990,Bears,1,0,1
1990,Bengals,1,2,1
1990,Browns,1,0,1
1990,Broncos,1,3,1
1990,Packers,1,0,1
1990,Oilers,1,1,1
1990,Colts,1,0,1
1990,Chiefs,1,1,1
1990,Patriots,1,0,0
1990,Giants,1,0,2
1990,Jets,1,1,0
1990,Eagles,1,0,3
1990,Seahawks,1,0,0
1990,Redskins,1,2,2
1990,Cowboys,0,1,1
1990,Rams,0,0,1
1990,Saints,0,1,1
1990,Cardinals,0,0,2
1990,Steelers,0,1,1
1990,49ers,0,1,0
1990,Buccaneers,0,0,3
1991,Falcons,4,3,1
1991,Oilers,3,0,2
1991,Eagles,3,0,1
1991,Chiefs,2,1,0
1991,Cardinals,2,0,1
1991,Bills,1,0,1
1991,Browns,1,1,3
1991,Cowboys,1,1,2
1991,Broncos,1,0,2
1991,Lions,1,1,2
1991,Packers,1,1,0
1991,Rams,1,1,1
1991,Raiders,1,1,0
1991,Dolphins,1,0,0
1991,Steelers,1,0,2
1991,49ers,1,1,0
1991,Bears,0,0,1
1991,Bengals,0,1,1
1991,Colts,0,0,0
1991,Vikings,0,0,2
1991,Patriots,0,0,0
1991,Saints,0,0,2
1991,Giants,0,0,0
1991,Jets,0,0,2
1991,Chargers,0,0,1
1991,Seahawks,0,0,2
1991,Buccaneers,0,0,0
1991,Redskins,0,0,3
1992,Browns,3,0,1
1992,Oilers,3,1,1
1992,Saints,3,0,3
1992,Buccaneers,3,0,1
1992,Bengals,2,0,1
1992,Chiefs,2,0,6
1992,Vikings,2,1,6
1992,Patriots,2,0,3
1992,Falcons,1,0,0
1992,Bills,1,1,2
1992,Bears,1,0,0
1992,Cowboys,1,1,1
1992,Broncos,1,0,1
1992,Lions,1,0,0
1992,Packers,1,0,1
1992,Eagles,1,1,2
1992,Steelers,1,0,1
1992,49ers,1,0,1
1992,Seahawks,1,0,0
1992,Redskins,1,0,2
1992,Colts,0,0,1
1992,Rams,0,1,1
1992,Raiders,0,1,1
1992,Dolphins,0,0,3
1992,Giants,0,0,1
1992,Jets,0,1,3
1992,Cardinals,0,1,3
1992,Chargers,0,3,1
1993,Oilers,3,1,3
1993,Bears,2,0,2
1993,Lions,2,0,1
1993,Colts,2,0,0
1993,Chiefs,2,0,0
1993,Saints,2,1,0
1993,Cardinals,2,2,1
1993,Steelers,2,0,1
1993,Seahawks,2,4,1
1993,Redskins,2,1,2
1993,Falcons,1,0,0
1993,Bills,1,1,3
1993,Browns,1,2,1
1993,Packers,1,1,0
1993,Rams,1,0,0
1993,Eagles,1,2,4
1993,49ers,1,0,3
1993,Bengals,0,3,2
1993,Cowboys,0,0,1
1993,Broncos,0,1,1
1993,Raiders,0,0,1
1993,Dolphins,0,0,1
1993,Vikings,0,2,2
1993,Patriots,0,0,0
1993,Giants,0,1,1
1993,Jets,0,1,1
1993,Chargers,0,0,1
1993,Buccaneers,0,0,2
1994,Colts,2,0,3
1994,Rams,2,1,1
1994,Raiders,2,0,3
1994,Vikings,2,0,4
1994,Saints,2,0,1
1994,Redskins,2,1,3
1994,Falcons,1,0,2
1994,Bills,1,1,0
1994,Lions,1,1,2
1994,Patriots,1,0,1
1994,Steelers,1,0,2
1994,49ers,1,0,4
1994,Bears,0,0,0
1994,Bengals,0,1,0
1994,Browns,0,0,1
1994,Cowboys,0,0,3
1994,Broncos,0,0,0
1994,Packers,0,0,1
1994,Oilers,0,1,1
1994,Chiefs,0,2,1
1994,Dolphins,0,0,1
1994,Giants,0,2,0
1994,Jets,0,0,3
1994,Eagles,0,1,2
1994,Cardinals,0,1,1
1994,Chargers,0,0,3
1994,Seahawks,0,1,2
1994,Buccaneers,0,0,0
1995,Eagles,4,0,1
1995,Rams,3,1,2
1995,Raiders,3,0,2
1995,Chiefs,2,0,2
1995,Vikings,2,0,2
1995,Steelers,2,0,3
1995,Chargers,2,1,1
1995,Seahawks,2,1,0
1995,Panthers,1,0,2
1995,Broncos,1,0,0
1995,Lions,1,1,0
1995,Packers,1,0,0
1995,Colts,1,1,1
1995,Dolphins,1,0,1
1995,Patriots,1,0,0
1995,Giants,1,1,2
1995,Buccaneers,1,0,1
1995,Redskins,1,1,2
1995,Falcons,0,0,2
1995,Bills,0,0,2
1995,Bears,0,1,1
1995,Bengals,0,2,1
1995,Browns,0,0,2
1995,Cowboys,0,0,4
1995,Oilers,0,1,4
1995,Jaguars,0,0,1
1995,Saints,0,0,1
1995,Jets,0,1,3
1995,Cardinals,0,0,4
1995,49ers,0,0,5
1996,Panthers,3,2,0
1996,Eagles,3,1,1
1996,Bears,2,1,1
1996,Patriots,2,1,2
1996,Steelers,2,0,3
1996,Bills,1,0,0
1996,Bengals,1,0,2
1996,Cowboys,1,0,0
1996,Lions,1,0,2
1996,Chiefs,1,1,0
1996,Raiders,1,2,2
1996,Saints,1,0,0
1996,Giants,1,2,3
1996,Jets,1,0,2
1996,Cardinals,1,0,1
1996,49ers,1,4,1
1996,Redskins,1,0,1
1996,Falcons,0,0,0
1996,Ravens,0,0,1
1996,Broncos,0,0,1
1996,Packers,0,1,3
1996,Oilers,0,2,1
1996,Colts,0,1,4
1996,Jaguars,0,0,0
1996,Rams,0,1,4
1996,Dolphins,0,1,3
1996,Vikings,0,0,1
1996,Chargers,0,0,1
1996,Seahawks,0,0,1
1996,Buccaneers,0,0,0
1997,Packers,3,0,3
1997,Seahawks,3,1,1
1997,Cowboys,2,0,1
1997,Broncos,2,0,5
1997,Lions,2,1,3
1997,Oilers,2,0,2
1997,Colts,2,1,2
1997,Raiders,2,1,1
1997,Dolphins,2,0,0
1997,Vikings,2,0,0
1997,Chargers,2,0,3
1997,49ers,2,0,1
1997,Bengals,1,0,0
1997,Jaguars,1,0,0
1997,Chiefs,1,3,4
1997,Rams,1,0,1
1997,Saints,1,0,0
1997,Eagles,1,0,1
1997,Steelers,1,0,0
1997,Redskins,1,0,3
1997,Falcons,0,0,0
1997,Ravens,0,1,1
1997,Bills,0,1,0
1997,Panthers,0,1,0
1997,Bears,0,1,0
1997,Patriots,0,1,4
1997,Giants,0,1,4
1997,Jets,0,0,4
1997,Cardinals,0,0,3
1997,Buccaneers,0,0,0
1998,Falcons,4,1,2
1998,Saints,4,2,5
1998,Packers,2,1,1
1998,Oilers,2,0,2
1998,Jaguars,2,0,0
1998,Vikings,2,1,3
1998,Jets,2,1,1
1998,Seahawks,2,0,8
1998,Bills,1,1,1
1998,Bears,1,2,1
1998,Bengals,1,0,1
1998,Cowboys,1,1,1
1998,Chiefs,1,1,0
1998,Raiders,1,0,3
1998,Ravens,0,2,2
1998,Panthers,0,0,2
1998,Broncos,0,0,2
1998,Lions,0,0,1
1998,Colts,0,0,0
1998,Rams,0,0,1
1998,Dolphins,0,0,4
1998,Patriots,0,0,3
1998,Giants,0,0,3
1998,Eagles,0,1,0
1998,Cardinals,0,2,1
1998,Steelers,0,0,3
1998,Chargers,0,1,1
1998,49ers,0,0,0
1998,Buccaneers,0,0,1
1998,Redskins,0,1,0
1999,Chiefs,4,0,5
