PLAYER,SEASON,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Mike Ditka,1965,36.0,454.0,12.9,44.0,2.0,0.0,0.0,,,0.0,1.0,0.0
Mike Ditka,1966,32.0,378.0,11.1,30.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Mike Ditka,1967,26.0,274.0,10.6,25.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Mike Ditka,1968,13.0,111.0,8.7,18.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Mike Ditka,1969,17.0,268.0,15.0,51.0,3.0,0.0,0.0,,,0.0,0.0,0.0
Mike Ditka,1970,9.0,103.0,8.8,26.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Ditka,1971,35.0,411.0,11.1,29.0,2.0,3.0,19.0,6.3,17.0,0.0,0.0,0.0
Mike Ditka,1972,19.0,211.0,11.7,26.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike Donohoe,1968,6.0,52.0,8.7,14.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike Donohoe,1970,2.0,36.0,18.0,22.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike Donohoe,1971,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Donohoe,1973,1.0,10.0,10.0,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Donohoe,1974,1.0,8.0,8.0,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Dyal,1989,27.0,499.0,16.7,67.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Mike Dyal,1990,3.0,51.0,17.2,29.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Dyal,1992,1.0,7.0,7.0,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Dyal,1993,14.0,166.0,13.8,31.0,0.0,0.0,0.0,,,0.0,2.0,2.0
Mike Espy,2006,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Evans,2014,73.0,1147.0,15.1,56.0,13.0,0.0,0.0,,,0.0,1.0,1.0
Mike Evans,2015,74.0,1206.0,15.8,68.0,3.0,0.0,0.0,,,0.0,1.0,1.0
Mike Evans,2016,104.0,1464.0,13.9,47.0,14.0,0.0,0.0,,,0.0,0.0,0.0
Mike Evans,2017,80.0,1116.0,14.5,42.0,5.0,0.0,0.0,,,0.0,1.0,0.0
Mike Evans,2018,90.0,1599.0,18.2,72.0,8.0,0.0,0.0,,,0.0,2.0,1.0
Mike Evans,2019,67.0,1157.0,20.3,67.0,8.0,0.0,0.0,,,0.0,0.0,0.0
Mike Evans,2020,81.0,1210.0,14.0,50.0,15.0,0.0,0.0,,,0.0,0.0,0.0
Mike Evans,2021,93.0,1291.0,14.3,55.0,16.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0
Mike Evans,2022,83.0,1198.0,14.3,63.0,6.0,0.0,0.0,,,0.0,0.0,0.0
Mike Evans,2023,90.0,1450.0,15.4,75.0,14.0,0.0,0.0,,,0.0,0.0,0.0
Mike Farr,1990,12.0,170.0,14.6,44.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Farr,1991,53.0,566.0,11.8,34.0,1.0,0.0,0.0,,,0.0,1.0,0.0
Mike Farr,1992,15.0,115.0,8.4,14.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Fisher,1981,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Friede,1980,44.0,742.0,16.6,48.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Friede,1981,18.0,250.0,14.4,43.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike Furrey,2003,24.0,219.0,8.7,24.0,0.0,3.0,5.0,1.5,2.0,0.0,3.0,0.0
Mike Furrey,2004,1.0,8.0,8.0,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Furrey,2006,98.0,1086.0,11.2,31.0,6.0,0.0,0.0,,,0.0,1.0,1.0
Mike Furrey,2007,61.0,664.0,11.2,49.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Mike Furrey,2008,22.0,227.0,9.6,25.0,0.0,0.0,0.0,,,0.0,1.0,0.0
Mike Furrey,2009,28.0,216.0,7.7,22.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Mike Gesicki,2018,23.0,212.0,9.4,27.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Mike Gesicki,2019,57.0,649.0,10.5,34.0,5.0,0.0,0.0,,,0.0,1.0,1.0
Mike Gesicki,2020,53.0,703.0,13.6,70.0,6.0,0.0,0.0,,,0.0,0.0,0.0
