PLAYER,SEASON,FGBLK,FGLNG,FGATT,FGM,FGPCT,XPATT,XPM,XPPCT,XPBLK,KO,KOAVG,TB,RET,AVGRET
Gary Anderson,1996,1.0,46.0,30.0,25.0,75.0,40.0,40.0,100.0,0.0,58.0,54.7,1.0,53.0,20.7
Gary Anderson,1997,2.0,51.0,38.0,31.0,79.4,44.0,44.0,100.0,0.0,8.0,60.1,0.0,8.0,17.2
Gary Anderson,1998,0.0,53.0,40.0,39.0,98.2,67.0,67.0,100.0,0.0,2.0,54.0,0.0,2.0,14.5
Gary Anderson,1999,3.0,47.0,33.0,22.0,65.6,51.0,51.0,100.0,0.0,9.0,36.6,0.0,6.0,12.7
Gary Anderson,2000,1.0,49.0,25.0,24.0,98.1,49.0,49.0,100.0,0.0,24.0,49.6,1.0,22.0,13.4
Gary Anderson,2001,0.0,44.0,18.0,15.0,84.7,30.0,29.0,95.8,1.0,10.0,54.7,0.0,9.0,15.3
Gary Anderson,2002,3.0,53.0,23.0,18.0,81.9,37.0,36.0,96.4,1.0,8.0,54.2,0.0,8.0,17.6
Gary Anderson,2003,1.0,46.0,34.0,29.0,83.1,46.0,46.0,100.0,0.0,0.0,,0.0,0.0,
Gary Anderson,2004,3.0,45.0,22.0,17.0,79.8,37.0,37.0,100.0,0.0,0.0,,0.0,0.0,
Gary Kroner,1965,5.0,37.0,29.0,13.0,40.4,32.0,32.0,100.0,0.0,66.0,0.0,6.0,0.0,
Gary Kroner,1966,3.0,46.0,25.0,14.0,63.3,20.0,20.0,100.0,0.0,49.0,0.0,4.0,0.0,
Gary Kroner,1967,0.0,20.0,2.0,2.0,100.0,6.0,5.0,83.4,1.0,11.0,0.0,3.0,0.0,
George Benyola,1987,0.0,45.0,5.0,3.0,66.6,3.0,3.0,100.0,0.0,11.0,55.7,0.0,11.0,16.4
George Hunt,1973,1.0,38.0,28.0,16.0,54.9,24.0,22.0,88.5,2.0,56.0,0.0,13.0,0.0,
George Hunt,1975,3.0,41.0,11.0,6.0,61.1,29.0,24.0,84.7,3.0,49.0,0.0,4.0,0.0,
George Jakowenko,1974,0.0,,0.0,0.0,,0.0,0.0,,0.0,38.0,13.6,0.0,0.0,
George Jakowenko,1976,0.0,49.0,17.0,12.0,70.0,24.0,21.0,92.9,1.0,46.0,0.0,4.0,0.0,
George Somers,1940,0.0,45.0,9.0,2.0,40.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,
George Somers,1941,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
George Somers,1942,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,
Gino Cappelletti,1968,2.0,42.0,27.0,15.0,60.8,26.0,26.0,100.0,0.0,2.0,0.0,0.0,0.0,
Giorgio Tavecchio,2017,1.0,53.0,25.0,19.0,80.0,40.0,38.0,95.6,0.0,74.0,63.7,52.0,21.0,19.5
Giorgio Tavecchio,2018,0.0,56.0,5.0,5.0,100.0,9.0,9.0,100.0,0.0,1.0,65.0,1.0,0.0,
Goran Lingmerth,1987,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.0,49.8,0.0,4.0,15.0
Graham Gano,2009,0.0,46.0,7.0,5.0,62.5,11.0,10.0,83.3,1.0,24.0,64.3,3.0,21.0,22.4
Graham Gano,2010,1.0,50.0,42.0,29.0,66.2,36.0,36.0,100.0,0.0,88.0,66.2,12.0,75.0,21.2
Graham Gano,2011,5.0,59.0,51.0,41.0,77.2,34.0,33.0,98.0,1.0,96.0,64.4,48.0,43.0,21.8
Graham Gano,2012,0.0,51.0,11.0,9.0,85.0,27.0,26.0,97.2,0.0,42.0,67.3,22.0,20.0,24.7
Graham Gano,2013,1.0,55.0,36.0,33.0,93.5,51.0,51.0,100.0,0.0,101.0,65.3,77.0,23.0,23.6
Graham Gano,2014,1.0,53.0,41.0,33.0,84.5,45.0,45.0,100.0,0.0,97.0,65.3,70.0,25.0,28.8
Graham Gano,2015,4.0,52.0,51.0,44.0,88.3,76.0,73.0,96.7,1.0,136.0,65.2,92.0,44.0,24.8
