PLAYER,SEASON,PUNTS,YDS,NETYDS,LNG,AVG,NETAVG,BLK,OOB,DN,IN20,TB,FC,RET,RETY,TD
John Jett,2000,95.0,4044.0,3306.0,59.0,43.3,35.7,2.0,3.0,11.0,33.0,12.0,14.0,53.0,498.0,0.0
John Jett,2001,58.0,2512.0,2060.0,62.0,43.6,35.7,0.0,2.0,7.0,16.0,6.0,13.0,30.0,332.0,1.0
John Jett,2002,91.0,3838.0,3459.0,57.0,42.2,38.1,0.0,2.0,15.0,29.0,7.0,14.0,53.0,239.0,0.0
John Jett,2003,25.0,995.0,890.0,58.0,40.4,35.6,0.0,1.0,5.0,8.0,3.0,5.0,11.0,45.0,0.0
John Kidd,1984,90.0,3696.0,2939.0,63.0,42.0,33.5,2.0,9.0,9.0,16.0,8.0,10.0,52.0,597.0,0.0
John Kidd,1985,92.0,3818.0,3300.0,67.0,41.3,36.0,0.0,16.0,8.0,33.0,4.0,15.0,49.0,438.0,1.0
John Kidd,1986,75.0,3031.0,2591.0,57.0,39.6,34.2,0.0,9.0,13.0,14.0,9.0,12.0,32.0,260.0,0.0
John Kidd,1987,64.0,2495.0,2207.0,67.0,39.6,34.7,0.0,9.0,11.0,20.0,7.0,11.0,26.0,148.0,0.0
John Kidd,1988,72.0,2879.0,2587.0,60.0,39.5,35.8,0.0,4.0,14.0,15.0,2.0,12.0,40.0,252.0,0.0
John Kidd,1989,70.0,2688.0,2281.0,60.0,39.9,34.0,2.0,7.0,11.0,15.0,9.0,15.0,26.0,227.0,0.0
John Kidd,1990,62.0,2442.0,2271.0,59.0,39.5,37.0,1.0,1.0,15.0,14.0,2.0,15.0,28.0,131.0,0.0
John Kidd,1991,77.0,3064.0,2677.0,60.0,40.6,34.9,1.0,1.0,12.0,22.0,6.0,25.0,32.0,267.0,0.0
John Kidd,1992,81.0,3486.0,2972.0,65.0,42.3,37.2,0.0,5.0,13.0,26.0,11.0,21.0,31.0,294.0,1.0
John Kidd,1993,57.0,2431.0,2048.0,67.0,43.5,36.1,0.0,1.0,7.0,16.0,7.0,14.0,28.0,243.0,0.0
John Kidd,1994,58.0,2408.0,1816.0,59.0,41.8,32.3,0.0,12.0,6.0,10.0,14.0,8.0,18.0,312.0,2.0
John Kidd,1995,60.0,2548.0,2183.0,56.0,42.0,37.1,0.0,3.0,7.0,16.0,5.0,10.0,35.0,265.0,0.0
