PLAYER,SEASON,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Paul Palmer,1988,134.0,452.0,3.8,26.0,2.0,53.0,611.0,10.1,71.0,4.0,7.0,3.0
Paul Palmer,1989,224.0,892.0,3.9,63.0,4.0,34.0,186.0,6.2,13.0,0.0,6.0,4.0
Paul Perkins,2016,138.0,536.0,3.6,22.0,0.0,22.0,222.0,9.5,67.0,0.0,2.0,1.0
Paul Perkins,2017,58.0,136.0,2.5,16.0,0.0,9.0,48.0,5.6,11.0,0.0,0.0,0.0
Paul Perkins,2019,36.0,129.0,3.5,24.0,0.0,10.0,73.0,7.3,26.0,0.0,1.0,1.0
Paul Robinson,1968,238.0,1023.0,4.2,87.0,8.0,24.0,128.0,2.8,68.0,1.0,4.0,0.0
Paul Robinson,1969,160.0,489.0,2.9,24.0,4.0,20.0,104.0,4.6,25.0,0.0,4.0,0.0
Paul Robinson,1970,154.0,647.0,4.0,26.0,6.0,17.0,175.0,12.8,27.0,1.0,0.0,0.0
Paul Robinson,1971,49.0,213.0,3.6,17.0,1.0,8.0,47.0,6.0,16.0,0.0,1.0,0.0
Paul Robinson,1972,214.0,898.0,4.0,30.0,6.0,28.0,224.0,7.6,24.0,0.0,0.0,0.0
Paul Robinson,1973,34.0,151.0,3.2,22.0,2.0,7.0,46.0,6.3,19.0,0.0,0.0,0.0
Paul Sanders,1944,6.0,4.0,0.6,8.0,0.0,4.0,5.0,1.5,5.0,0.0,0.0,0.0
Paul Sarringhaus,1946,2.0,1.0,0.5,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Paul Sarringhaus,1948,19.0,38.0,2.0,7.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
Paul Shields,1999,0.0,0.0,,,0.0,4.0,37.0,9.2,21.0,0.0,0.0,0.0
Paul Shields,2000,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Paul Shoults,1949,46.0,124.0,2.9,17.0,0.0,10.0,124.0,13.0,23.0,0.0,8.0,0.0
Paul White,1970,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Paul White,1971,1.0,3.0,3.0,3.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Paul Ziegler,1922,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pepper Petrella,1945,15.0,33.0,1.2,11.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0
Perce Wilson,1920,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Perry Dowrick,1921,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Perry Harrington,1980,35.0,176.0,4.6,19.0,2.0,3.0,24.0,7.5,17.0,0.0,1.0,0.0
Perry Harrington,1981,34.0,140.0,4.0,16.0,2.0,9.0,27.0,5.3,12.0,0.0,1.0,0.0
Perry Harrington,1982,56.0,231.0,3.6,37.0,1.0,13.0,74.0,6.0,18.0,0.0,2.0,1.0
Perry Harrington,1983,23.0,98.0,4.2,35.0,1.0,1.0,19.0,19.0,19.0,0.0,1.0,1.0
Perry Harrington,1984,3.0,6.0,2.0,5.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Perry Harrington,1985,7.0,42.0,6.0,22.0,1.0,0.0,0.0,,,0.0,1.0,1.0
Perry Jeter,1956,60.0,316.0,5.3,51.0,2.0,5.0,52.0,12.2,23.0,0.0,2.0,0.0
Perry Jeter,1957,10.0,11.0,0.9,7.0,0.0,2.0,9.0,4.5,11.0,0.0,2.0,0.0
Perry Lee Dunn,1964,26.0,103.0,4.1,14.0,1.0,2.0,30.0,15.0,18.0,0.0,1.0,0.0
Perry Lee Dunn,1965,54.0,171.0,3.2,12.0,2.0,8.0,74.0,8.9,22.0,1.0,2.0,0.0
Perry Lee Dunn,1966,22.0,52.0,1.5,10.0,0.0,5.0,45.0,9.6,16.0,0.0,2.0,0.0
Perry Lee Dunn,1967,27.0,63.0,2.0,11.0,0.0,13.0,111.0,8.9,21.0,0.0,3.0,0.0
Perry Lee Dunn,1968,72.0,219.0,3.5,15.0,3.0,9.0,118.0,12.5,43.0,0.0,3.0,0.0
Perry Lee Dunn,1969,13.0,45.0,3.5,11.0,0.0,5.0,30.0,6.5,10.0,0.0,1.0,0.0
Pervis Atkins,1961,5.0,19.0,4.2,13.0,0.0,5.0,67.0,13.4,28.0,0.0,1.0,0.0
Pervis Atkins,1962,7.0,19.0,2.1,16.0,0.0,35.0,393.0,11.3,48.0,1.0,4.0,0.0
Pervis Atkins,1963,5.0,11.0,3.6,6.0,0.0,14.0,174.0,12.2,21.0,1.0,3.0,0.0
Pervis Atkins,1964,25.0,98.0,3.9,19.0,1.0,8.0,35.0,3.8,10.0,0.0,3.0,0.0
Pervis Atkins,1965,36.0,88.0,2.0,16.0,0.0,4.0,12.0,3.0,6.0,0.0,4.0,0.0
Pervis Atkins,1966,14.0,10.0,1.1,9.0,0.0,0.0,0.0,,,0.0,2.0,0.0
Pesty Lentz,1920,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Bahan,1923,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Banaszak,1966,4.0,18.0,5.4,7.0,0.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0
Pete Banaszak,1967,89.0,508.0,5.9,47.0,1.0,21.0,265.0,12.4,72.0,1.0,1.0,1.0
Pete Banaszak,1968,97.0,387.0,3.9,43.0,5.0,16.0,193.0,13.1,49.0,1.0,6.0,0.0
Pete Banaszak,1969,90.0,385.0,3.2,40.0,0.0,19.0,132.0,6.5,19.0,3.0,0.0,0.0
Pete Banaszak,1970,22.0,69.0,0.6,16.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0
Pete Banaszak,1971,137.0,563.0,4.1,30.0,8.0,13.0,128.0,8.7,28.0,0.0,3.0,0.0
Pete Banaszak,1972,30.0,138.0,4.7,15.0,1.0,10.0,75.0,7.0,16.0,0.0,1.0,0.0
Pete Banaszak,1973,41.0,218.0,5.1,26.0,0.0,7.0,36.0,5.8,9.0,0.0,0.0,0.0
Pete Banaszak,1974,86.0,293.0,3.4,20.0,5.0,10.0,64.0,6.6,12.0,0.0,1.0,0.0
Pete Banaszak,1975,212.0,767.0,3.4,27.0,17.0,12.0,76.0,6.2,12.0,0.0,3.0,2.0
Pete Banaszak,1976,143.0,443.0,3.0,15.0,7.0,16.0,79.0,3.1,20.0,1.0,2.0,0.0
Pete Banaszak,1977,85.0,273.0,3.0,12.0,6.0,3.0,16.0,5.3,8.0,0.0,2.0,0.0
Pete Banaszak,1978,43.0,137.0,2.9,10.0,0.0,7.0,78.0,11.1,20.0,0.0,1.0,0.0
Pete Barnum,1926,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Calac,1920,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Calac,1921,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Calac,1922,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Calac,1923,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Calac,1924,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Calac,1925,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Calac,1926,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Casey,1923,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Gorgone,1946,0.0,0.0,,,0.0,1.0,-2.0,-2.0,-2.0,0.0,0.0,0.0
Pete Hart,1960,25.0,113.0,4.2,0.0,0.0,3.0,19.0,6.3,5.0,0.0,1.0,0.0
Pete Jackson,1928,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Johnson,1977,153.0,585.0,3.5,65.0,4.0,5.0,49.0,8.8,21.0,0.0,1.0,0.0
Pete Johnson,1978,180.0,762.0,4.1,50.0,7.0,31.0,236.0,6.1,34.0,0.0,4.0,0.0
Pete Johnson,1979,243.0,865.0,3.6,35.0,14.0,24.0,154.0,6.0,15.0,1.0,6.0,0.0
Pete Johnson,1980,186.0,747.0,3.9,57.0,6.0,21.0,172.0,9.4,28.0,1.0,2.0,0.0
Pete Johnson,1981,326.0,1238.0,3.8,39.0,14.0,52.0,365.0,6.7,33.0,4.0,5.0,2.0
Pete Johnson,1982,165.0,648.0,3.8,21.0,7.0,34.0,274.0,8.7,25.0,0.0,1.0,1.0
Pete Johnson,1983,210.0,763.0,3.4,16.0,14.0,15.0,129.0,6.7,18.0,0.0,2.0,2.0
Pete Johnson,1984,206.0,532.0,2.2,12.0,24.0,4.0,14.0,3.5,7.0,0.0,2.0,2.0
Pete Kmetovic,1946,5.0,30.0,5.0,27.0,0.0,4.0,68.0,15.0,38.0,0.0,1.0,0.0
Pete Kmetovic,1947,14.0,23.0,2.0,6.0,0.0,6.0,143.0,23.8,53.0,2.0,0.0,0.0
Pete Larson,1967,25.0,84.0,2.7,34.0,1.0,8.0,45.0,7.2,13.0,0.0,0.0,0.0
Pete Larson,1968,44.0,132.0,2.1,16.0,1.0,12.0,146.0,13.6,25.0,1.0,0.0,0.0
Pete Lauer,1922,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Pete Layden,1950,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
