PLAYER,TOTAL,SOLO,AST,SCK,SFTY,PDEF,INT,YDS,AVG,LNG,TDS,FF,FR
Ed Sharockman,14.0,12.0,1.0,0.0,0.0,3.0,41.0,825.0,21.4,47.0,3.0,0.0,6.0
Ed Simonini,26.0,18.0,2.0,0.0,0.0,0.0,3.0,4.0,1.3,3.0,0.0,1.0,6.0
Ed Skoronski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Smith,46.0,30.0,7.0,0.0,0.0,5.0,2.0,11.0,5.5,8.0,0.0,0.0,2.0
Ed Sprinkle,0.0,0.0,0.0,0.0,1.0,0.0,4.0,55.0,13.8,34.0,0.0,0.0,10.0
Ed Stinson,44.0,31.0,10.0,2.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Ed Taylor,6.0,6.0,0.0,0.0,0.0,6.0,8.0,77.0,9.6,44.0,0.0,0.0,2.0
Ed Tolley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Van Meter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Watson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Weisacosky,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,3.3,7.0,0.0,0.0,3.0
Ed Zeman,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Eddie Anderson,812.0,499.0,157.0,4.0,0.0,56.0,19.0,531.0,28.3,102.0,3.0,8.0,6.0
Eddie Blake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Eddie Bollinger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Eddie Cade,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Eddie Cole,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,1.0
Eddie Crawford,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0
Eddie Dove,0.0,0.0,0.0,0.0,0.0,0.0,12.0,226.0,18.8,75.0,0.0,0.0,3.0
Eddie Doyle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Eddie Edwards,159.0,128.0,14.0,43.5,0.0,1.0,1.0,2.0,2.0,2.0,0.0,4.0,16.0
Eddie Fisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Eddie Freeman,19.0,11.0,4.0,4.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Eddie Goldman,195.0,119.0,67.0,13.0,1.0,1.0,0.0,0.0,,,0.0,1.0,3.0
Eddie Jackson,477.0,349.0,109.0,2.0,0.0,45.0,15.0,252.0,16.8,76.0,3.0,10.0,6.0
Eddie Jones,10.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Eddie Kahn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Eddie Lewis,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,7.0,11.0,0.0,0.0,1.0
Eddie Mason,117.0,87.0,5.0,3.0,0.0,1.0,0.0,0.0,,,0.0,1.0,1.0
Eddie McMillan,7.0,6.0,1.0,0.0,0.0,4.0,12.0,241.0,20.1,57.0,0.0,0.0,4.0
Eddie Michaels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Eddie Miles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Eddie Moore,35.0,25.0,7.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,2.0
Eddie Pleasant,183.0,127.0,39.0,3.5,0.0,22.0,6.0,12.0,2.0,10.0,0.0,1.0,2.0
Eddie Robinson,863.0,558.0,246.0,24.5,0.0,63.0,6.0,94.0,15.7,49.0,1.0,9.0,14.0
Eddie Sutter,113.0,86.0,6.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,1.0
Eddie Vanderdoes,27.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Eddie Yarbrough,108.0,69.0,32.0,4.0,0.0,5.0,0.0,0.0,,,0.0,0.0,0.0
Edgar Chandler,0.0,0.0,0.0,0.0,1.0,0.0,2.0,72.0,36.0,59.0,1.0,0.0,3.0
Edgar Fields,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0
Edgar Jones,33.0,26.0,5.0,3.0,0.0,1.0,0.0,0.0,,,0.0,0.0,2.0
Edgerton Hartwell,410.0,195.0,126.0,7.0,0.0,9.0,1.0,26.0,26.0,26.0,0.0,5.0,1.0
Edmond Miles,31.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0
Edmond Robinson,72.0,41.0,19.0,0.0,0.0,4.0,0.0,0.0,,,0.0,0.0,0.0
Edward Douglas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Edward Thomas,42.0,32.0,6.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Edwin Jackson,89.0,59.0,29.0,2.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Efe Obada,114.0,55.0,49.0,17.5,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
Eggs Manske,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0
Ego Ferguson,43.0,22.0,21.0,2.0,0.0,3.0,0.0,0.0,,,0.0,0.0,0.0
