PLAYER,PUNTS,YDS,NETYDS,LNG,AVG,NETAVG,BLK,OOB,DN,IN20,TB,FC,RET,RETY,TD
Hank Ilesic,76.0,3049.0,2501.0,64.0,39.5,32.8,0.0,12.0,10.0,11.0,7.0,8.0,39.0,408.0,0.0
Harold Alexander,143.0,5950.0,5178.0,75.0,42.5,36.1,0.0,14.0,20.0,33.0,9.0,32.0,68.0,592.0,0.0
Harry Newsome,720.0,29872.0,24257.0,84.0,42.5,34.1,15.0,53.0,75.0,154.0,90.0,116.0,371.0,3815.0,2.0
Herman Weaver,715.0,28288.0,23645.0,69.0,40.5,33.4,14.0,49.0,101.0,64.0,68.0,93.0,383.0,3283.0,2.0
Hunter Niswander,31.0,1462.0,1252.0,58.0,47.0,40.6,0.0,0.0,1.0,10.0,3.0,15.0,12.0,150.0,0.0
Hunter Smith,775.0,33224.0,27359.0,69.0,43.4,35.4,5.0,56.0,84.0,251.0,74.0,182.0,374.0,4385.0,5.0
J K Scott,440.0,19692.0,17757.0,83.0,44.8,40.4,2.0,44.0,58.0,147.0,28.0,157.0,151.0,1375.0,3.0
Jack Fox,289.0,13974.0,12359.0,74.0,48.3,42.9,0.0,15.0,42.0,108.0,25.0,75.0,131.0,1115.0,0.0
Jack Weil,48.0,1826.0,1539.0,55.0,37.9,31.9,0.0,6.0,8.0,10.0,4.0,2.0,28.0,207.0,0.0
Jacob Schum,154.0,6706.0,6081.0,66.0,43.7,39.6,0.0,18.0,17.0,47.0,11.0,41.0,67.0,405.0,0.0
Jake Bailey,332.0,15166.0,13494.0,71.0,46.5,41.5,3.0,46.0,51.0,140.0,29.0,91.0,112.0,1092.0,2.0
Jake Camarda,201.0,9830.0,8225.0,74.0,49.4,42.0,0.0,24.0,18.0,62.0,25.0,38.0,95.0,1105.0,0.0
Jamie Gillan,390.0,17737.0,15811.0,74.0,45.7,40.6,2.0,42.0,41.0,137.0,25.0,124.0,156.0,1426.0,1.0
Jason Baker,1033.0,43718.0,36998.0,76.0,42.3,36.3,6.0,46.0,139.0,306.0,74.0,212.0,556.0,5240.0,16.0
Jeff Feagles,1822.0,75281.0,65572.0,77.0,41.5,36.3,13.0,274.0,218.0,592.0,135.0,375.0,807.0,7009.0,13.0
Jeff Gossett,1079.0,44228.0,37281.0,65.0,41.2,34.8,5.0,159.0,110.0,267.0,110.0,141.0,554.0,4747.0,3.0
Jeff Hayes,315.0,11753.0,10330.0,59.0,37.8,32.7,6.0,27.0,50.0,77.0,19.0,57.0,156.0,1043.0,1.0
Jeff Locke,415.0,17958.0,16113.0,72.0,43.7,39.4,1.0,16.0,62.0,146.0,25.0,120.0,191.0,1345.0,2.0
Jeff West,660.0,24959.0,21506.0,62.0,37.9,32.7,4.0,75.0,60.0,147.0,59.0,153.0,308.0,2273.0,2.0
Jeremy Kapinos,201.0,8839.0,7290.0,63.0,44.7,37.2,1.0,6.0,23.0,63.0,26.0,32.0,113.0,1029.0,0.0
Jerrel Wilson,1127.0,48005.0,39636.0,72.0,42.8,35.5,12.0,108.0,174.0,47.0,103.0,95.0,625.0,6309.0,5.0
Jerry DePoyster,187.0,7228.0,6405.0,60.0,39.2,34.7,3.0,8.0,26.0,1.0,14.0,48.0,85.0,543.0,0.0
Jim Arnold,882.0,37154.0,31008.0,71.0,42.1,35.1,5.0,100.0,108.0,199.0,90.0,105.0,474.0,4346.0,5.0
Jim Asmus,12.0,384.0,336.0,51.0,32.1,27.0,0.0,2.0,2.0,3.0,1.0,1.0,6.0,28.0,0.0
Jim Elliott,74.0,2744.0,2387.0,55.0,38.5,33.5,2.0,4.0,10.0,0.0,4.0,13.0,39.0,277.0,1.0
Jim Fraser,11.0,391.0,392.0,56.0,35.5,35.6,0.0,0.0,6.0,0.0,0.0,3.0,2.0,-1.0,0.0
Jim McCann,152.0,5488.0,5043.0,63.0,38.1,35.3,6.0,7.0,16.0,3.0,13.0,54.0,50.0,185.0,0.0
Jimmy Colquitt,12.0,481.0,411.0,55.0,39.8,33.4,0.0,1.0,5.0,3.0,2.0,1.0,3.0,30.0,0.0
Joe Prokop,408.0,15872.0,13701.0,76.0,38.7,33.2,0.0,45.0,72.0,95.0,25.0,64.0,202.0,1671.0,3.0
John Baker,104.0,4264.0,3623.0,59.0,41.4,35.1,1.0,9.0,19.0,28.0,14.0,20.0,41.0,361.0,0.0
John Bruno,17.0,619.0,517.0,56.0,38.4,31.6,1.0,1.0,0.0,5.0,4.0,1.0,10.0,22.0,0.0
John Goodson,51.0,2046.0,1784.0,66.0,40.8,35.6,0.0,8.0,5.0,12.0,4.0,6.0,28.0,182.0,0.0
John James,1149.0,46334.0,39146.0,75.0,40.5,34.5,6.0,103.0,115.0,170.0,102.0,179.0,642.0,5148.0,3.0
