PLAYER,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
Jeff Kemp,648.0,1248.0,8156.0,6.0,48.0,58.0,91.0,577.0,69.3,148.0,629.0,3.7,1.0,29.0,15.0
Jeff Knapple,1.0,4.0,15.0,2.5,0.0,0.0,0.0,0.0,45.2,6.0,0.0,0.0,0.0,0.0,0.0
Jeff Komlo,218.0,437.0,2603.0,6.1,12.0,28.0,48.0,431.0,51.4,38.0,121.0,3.2,2.0,15.0,1.0
Jeff Lewis,28.0,54.0,210.0,4.8,0.0,2.0,10.0,71.0,55.7,21.0,78.0,3.3,0.0,1.0,0.0
Jeff Quinn,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jeff Rowe,24.0,43.0,228.0,5.0,0.0,1.0,5.0,41.0,58.9,1.0,-1.0,-1.0,0.0,0.0,0.0
Jeff Rutledge,275.0,527.0,3651.0,8.0,16.0,29.0,52.0,404.0,70.4,59.0,90.0,1.0,1.0,18.0,13.0
Jeff Smoker,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jeff Tuel,57.0,102.0,608.0,6.2,3.0,3.0,5.0,27.0,75.0,11.0,27.0,2.4,0.0,1.0,1.0
Jeff Van Raaphorst,18.0,34.0,174.0,5.1,1.0,2.0,3.0,19.0,46.8,1.0,6.0,6.0,0.0,1.0,0.0
Jerry Golsteyn,94.0,226.0,1093.0,3.8,2.0,15.0,33.0,263.0,38.3,11.0,-4.0,-0.5,0.0,7.0,0.0
Jerry Niles,19.0,57.0,269.0,4.4,1.0,7.0,0.0,40.0,28.8,8.0,24.0,3.5,0.0,2.0,0.0
Jerry Rhome,141.0,282.0,1663.0,5.7,7.0,14.0,29.0,230.0,59.2,26.0,91.0,3.0,1.0,9.0,0.0
Jerry Tagge,136.0,281.0,1583.0,5.5,3.0,17.0,17.0,116.0,52.0,41.0,117.0,2.9,3.0,6.0,0.0
Jesse Freitas,98.0,219.0,1244.0,5.5,8.0,13.0,31.0,214.0,52.2,17.0,72.0,4.2,0.0,3.0,0.0
Jesse Palmer,63.0,120.0,562.0,5.2,3.0,4.0,16.0,95.0,70.6,5.0,20.0,2.8,0.0,2.0,1.0
Jim Ballard,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jim Bob Taylor,1.0,2.0,20.0,10.0,0.0,1.0,0.0,0.0,45.8,0.0,0.0,,0.0,0.0,0.0
Jim Callahan,22.0,67.0,359.0,4.1,2.0,7.0,0.0,0.0,49.7,52.0,86.0,-2.9,2.0,4.0,0.0
Jim Crocicchia,6.0,15.0,89.0,5.9,1.0,0.0,2.0,17.0,82.4,4.0,5.0,1.2,0.0,2.0,2.0
Jim Del Gaizo,44.0,103.0,648.0,6.5,4.0,10.0,9.0,88.0,55.5,8.0,16.0,2.2,0.0,4.0,0.0
Jim Druckenmiller,21.0,52.0,239.0,5.2,1.0,4.0,4.0,32.0,44.5,13.0,-10.0,-0.7,0.0,0.0,0.0
Jim Everett,2928.0,5099.0,35957.0,7.1,210.0,186.0,264.0,1947.0,77.7,269.0,643.0,2.4,4.0,66.0,35.0
Jim Fassel,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jim Finks,656.0,1373.0,8587.0,5.8,55.0,87.0,0.0,572.0,54.4,117.0,292.0,1.6,12.0,20.0,0.0
Jim Haluska,1.0,4.0,8.0,1.3,0.0,0.0,0.0,0.0,46.5,0.0,0.0,,0.0,0.0,0.0
Jim Harbaugh,2388.0,4081.0,27194.0,7.1,135.0,122.0,374.0,2224.0,78.2,591.0,2906.0,4.8,19.0,83.0,37.0
Jim Hardy,423.0,912.0,5690.0,6.0,54.0,73.0,0.0,525.0,63.3,48.0,67.0,1.6,2.0,20.0,0.0
Jim Hart,2633.0,5157.0,35156.0,6.8,211.0,251.0,286.0,2344.0,69.1,160.0,217.0,1.2,16.0,65.0,4.0
Jim Jaquith,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jim Kelly,3196.0,5324.0,39330.0,7.6,258.0,203.0,348.0,2595.0,83.9,348.0,1210.0,3.4,7.0,86.0,43.0
Jim McMahon,1575.0,2729.0,19266.0,7.1,105.0,94.0,238.0,1411.0,79.3,362.0,1708.0,4.4,19.0,32.0,13.0
Jim Miller,613.0,1051.0,6410.0,5.7,36.0,32.0,41.0,245.0,69.2,55.0,4.0,-0.1,0.0,20.0,6.0
Jim Murphy,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jim Ninowski,516.0,1063.0,7164.0,7.2,34.0,68.0,27.0,886.0,64.0,92.0,367.0,3.5,10.0,15.0,0.0
Jim Plunkett,2105.0,3973.0,28175.0,7.3,175.0,210.0,407.0,3491.0,71.6,351.0,1434.0,3.9,15.0,65.0,15.0
Jim Powers,31.0,70.0,367.0,3.7,1.0,4.0,0.0,45.0,41.5,6.0,-6.0,-2.6,0.0,1.0,0.0
