PLAYER,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Al Cornsweet,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Couppee,3.0,22.0,9.8,17.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Donelli,17.0,16.0,0.7,7.0,0.0,2.0,25.0,12.5,14.0,0.0,0.0,0.0
Al Drulis,13.0,49.0,2.6,13.0,0.0,6.0,49.0,5.3,17.0,0.0,1.0,0.0
Al Elliott,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Frazier,62.0,278.0,4.7,43.0,2.0,58.0,1010.0,15.6,96.0,7.0,8.0,0.0
Al Greene,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Grygo,76.0,420.0,4.9,66.0,2.0,10.0,110.0,10.6,33.0,1.0,1.0,0.0
Al Hadden,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Haywood,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Hunter,180.0,715.0,3.6,67.0,4.0,27.0,331.0,11.0,21.0,0.0,7.0,0.0
Al Lawler,9.0,44.0,5.2,16.0,0.0,3.0,40.0,12.0,26.0,0.0,2.0,0.0
Al Leith,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Lindow,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al McIntosh,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Michaels,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Nichelini,149.0,423.0,3.2,21.0,4.0,10.0,133.0,12.8,29.0,0.0,0.0,0.0
Al Owen,19.0,46.0,2.5,6.0,0.0,4.0,70.0,17.5,39.0,1.0,0.0,0.0
Al Pollard,130.0,472.0,2.9,28.0,1.0,21.0,162.0,5.5,24.0,0.0,10.0,0.0
Al Postus,2.0,4.0,2.0,12.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Al Wolden,2.0,8.0,4.0,7.0,0.0,1.0,26.0,26.0,26.0,0.0,0.0,0.0
Alabama Pitts,0.0,0.0,,,0.0,2.0,21.0,10.5,15.0,0.0,0.0,0.0
Alan Ameche,987.0,4141.0,3.9,79.0,42.0,105.0,763.0,8.1,40.0,4.0,13.0,0.0
