PLAYER,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Sammy Martin,31.0,503.0,16.6,37.0,1.0,2.0,20.0,10.0,13.0,0.0,3.0,3.0
Sammy Stein,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Sammy Watkins,404.0,6005.0,15.3,84.0,35.0,14.0,93.0,6.4,31.0,0.0,8.0,6.0
Sammy Weir,2.0,16.0,8.0,12.0,0.0,0.0,0.0,,,0.0,3.0,0.0
Sammy White,410.0,6713.0,16.7,69.0,55.0,21.0,95.0,4.7,45.0,0.0,9.0,2.0
Samori Toure,27.0,357.0,12.7,37.0,1.0,1.0,-2.0,-2.0,-2.0,0.0,2.0,1.0
Samuel Giguere,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Samuel Johnson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,2.0,1.0
Sanjay Beach,31.0,283.0,9.6,20.0,3.0,0.0,0.0,,,0.0,2.0,2.0
Santana Moss,800.0,11186.0,14.5,78.0,74.0,56.0,332.0,5.5,35.0,0.0,26.0,12.0
Santonio Holmes,437.0,6815.0,15.7,83.0,47.0,18.0,96.0,4.9,23.0,0.0,20.0,8.0
Scot Osborne,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Scott Ankrom,0.0,0.0,,,0.0,0.0,0.0,,,0.0,1.0,0.0
Scott Bolton,2.0,33.0,16.5,18.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Scott Chandler,229.0,2656.0,11.3,43.0,23.0,0.0,0.0,,,0.0,4.0,3.0
Scott Dragos,4.0,28.0,7.0,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Scott Eccles,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Scott Fitzkee,20.0,348.0,17.0,49.0,4.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0
Scott Galbraith,61.0,671.0,10.7,42.0,7.0,0.0,0.0,,,0.0,0.0,0.0
Scott Holman,18.0,196.0,10.6,30.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Scott Mayle,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Scott Miller,105.0,1271.0,11.7,56.0,7.0,11.0,95.0,7.4,33.0,1.0,0.0,0.0
Scott Orndoff,1.0,4.0,4.0,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Scott Piper,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Scott Schwedes,25.0,436.0,14.7,65.0,3.0,0.0,0.0,,,0.0,11.0,3.0
Scott Simonson,28.0,279.0,10.5,27.0,2.0,0.0,0.0,,,0.0,1.0,1.0
Scott Slutzker,15.0,196.0,11.4,42.0,1.0,0.0,0.0,,,0.0,1.0,0.0
Scottie Montgomery,16.0,160.0,11.6,23.0,1.0,5.0,32.0,6.4,28.0,0.0,0.0,0.0
Scotty Anderson,54.0,858.0,17.3,72.0,4.0,0.0,0.0,,,0.0,1.0,0.0
Scotty Washington,6.0,47.0,7.5,13.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Sean Berton,11.0,97.0,9.4,16.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Sean Brewer,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Sean Culkin,18.0,170.0,10.0,24.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Sean Dawkins,463.0,6526.0,14.1,68.0,27.0,0.0,0.0,,,0.0,7.0,5.0
Sean Foster,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Sean LaChapelle,29.0,445.0,15.7,69.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Sean Manuel,3.0,18.0,6.0,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Sean McDermott,0.0,0.0,,,0.0,0.0,0.0,,,0.0,1.0,0.0
Sean McGrath,52.0,569.0,11.0,25.0,3.0,0.0,0.0,,,0.0,0.0,0.0
Sean McHugh,25.0,310.0,12.3,46.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Sean McKeon,10.0,76.0,6.9,13.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Sean Modster,7.0,45.0,6.4,12.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Sean Morey,23.0,284.0,11.4,62.0,0.0,1.0,13.0,13.0,13.0,0.0,3.0,2.0
Sean Ryan,44.0,372.0,7.9,43.0,5.0,0.0,0.0,,,0.0,1.0,1.0
Seantavius Jones,6.0,54.0,9.4,22.0,1.0,0.0,0.0,,,0.0,0.0,0.0
